"","sample_id","sample","tech","site","sample_type","Hash","nReads","reason","rank","taxon"
"23","SS18-059-c","SS18-059",3,"Dungeness Spit","whole crab","f0ac20495fe6719db397e97f38b6074e2dc44d69",18,"non-target DNA","order","Hypocreales"
"24","SS19-064-a","SS19-064",1,"Dungeness Spit","whole crab","538d38a10b39504ac841b298f510440aec3e5c27",2914,"predator DNA","species","Carcinus maenas"
"25","SS19-064-a","SS19-064",1,"Dungeness Spit","whole crab","06728f574aa876531056d77ac7b6b0ecad14336a",4,"missing",NA,NA
"26","SS19-064-a","SS19-064",1,"Dungeness Spit","whole crab","95a159a1591f407043ad5dffc5897489728d8111",6,"missing",NA,NA
"27","SS19-064-a","SS19-064",1,"Dungeness Spit","whole crab","dd39321bcb93467e907816e5139b76f32d9143f1",4,"predator DNA","species","Carcinus maenas"
"28","SS19-064-a","SS19-064",1,"Dungeness Spit","whole crab","482eeb194a257ce05a30eacb3511b343dcc9510e",14,"missing",NA,NA
"29","SS19-064-a","SS19-064",1,"Dungeness Spit","whole crab","610808f325b46760592d8783cdf5dcde19cf8813",9,"missing",NA,NA
"30","SS19-064-b","SS19-064",2,"Dungeness Spit","whole crab","538d38a10b39504ac841b298f510440aec3e5c27",9451,"predator DNA","species","Carcinus maenas"
"31","SS19-064-b","SS19-064",2,"Dungeness Spit","whole crab","d8c208421141d5ffd5055922ef0bb2ea43bceb51",11849,"retained","species","Batillaria attramentaria"
"32","SS19-064-b","SS19-064",2,"Dungeness Spit","whole crab","f44554ad035b01f44bfa4b4ce67e43e8f9c67025",112,"predator DNA","species","Carcinus maenas"
"33","SS19-064-b","SS19-064",2,"Dungeness Spit","whole crab","033639e5010e9069ffb163478b59bf12b33b041a",11,"predator DNA","species","Carcinus maenas"
"34","SS19-064-b","SS19-064",2,"Dungeness Spit","whole crab","66c41fda7d8fc5fc8e39b178faafad1d1d0e5808",50,"incidental ingestion","species","Paralia sulcata"
"35","SS19-064-b","SS19-064",2,"Dungeness Spit","whole crab","5b6e0c75a7aadd35e36a3c67bba6d1b3fcea1d7c",29,"missing",NA,NA
"36","SS19-064-b","SS19-064",2,"Dungeness Spit","whole crab","def64f69c8ddc1b08757f41b1b4ea2fecf383c27",30,"incidental ingestion","species","Euchlanis dilatata"
"37","SS19-064-b","SS19-064",2,"Dungeness Spit","whole crab","d5dbea9990ed3d0be5348935de0f987409706fd2",23,"incidental ingestion","species","Paralia sulcata"
"38","SS19-064-b","SS19-064",2,"Dungeness Spit","whole crab","2a2719cf1b3a0e1df4fe3f75db0ec82e19dc18f0",3,"non-target DNA","species","Neurospora crassa"
"39","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","538d38a10b39504ac841b298f510440aec3e5c27",18599,"predator DNA","species","Carcinus maenas"
"40","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","d8c208421141d5ffd5055922ef0bb2ea43bceb51",19304,"retained","species","Batillaria attramentaria"
"41","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","f44554ad035b01f44bfa4b4ce67e43e8f9c67025",629,"predator DNA","species","Carcinus maenas"
"42","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","245984f52208cb4e1405e89d21f4273c723f23e5",78,"predator DNA","species","Carcinus maenas"
"43","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","66c41fda7d8fc5fc8e39b178faafad1d1d0e5808",87,"incidental ingestion","species","Paralia sulcata"
"44","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","ad7c17f622104dcaa57c76757dac23063387c073",26,"predator DNA","species","Carcinus maenas"
"45","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","f80c71e33339c6a16bcce1ad39d1f7b6e83419b2",16,"missing",NA,NA
"46","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","695a4d940773de5dadb55a3e809ca384a48ef572",37,"missing",NA,NA
"47","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","32774b2cb5d38d6afb2257f5841104a033fc4a2d",199,"retained","species","Batillaria attramentaria"
"48","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","5b6e0c75a7aadd35e36a3c67bba6d1b3fcea1d7c",78,"missing",NA,NA
"49","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","dd39321bcb93467e907816e5139b76f32d9143f1",10,"predator DNA","species","Carcinus maenas"
"50","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","6f9913a87be0588cd1514c14d50fbc7247d9c4fd",64,"retained","species","Batillaria attramentaria"
"51","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","fdf52343d4a2b7dc8df4dc38c55901c90990a1b9",56,"predator DNA","species","Carcinus maenas"
"52","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","05c29e51cc499e9170c1041b76213ea03d9467af",39,"retained","species","Batillaria attramentaria"
"53","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","2ce1448872cbf209e8efea7ddca49957e64ed76a",14,"non-target DNA","phylum","Oomycota"
"54","SS19-064-c","SS19-064",3,"Dungeness Spit","whole crab","2484fd3672f5214eb0ffe903bb0be4f45ae35a2a",3,"non-target DNA","family","Flavobacteriaceae"
"55","SS19-065-a","SS19-065",1,"Dungeness Spit","whole crab","538d38a10b39504ac841b298f510440aec3e5c27",15719,"predator DNA","species","Carcinus maenas"
"56","SS19-065-a","SS19-065",1,"Dungeness Spit","whole crab","d8c208421141d5ffd5055922ef0bb2ea43bceb51",16063,"retained","species","Batillaria attramentaria"
"57","SS19-065-a","SS19-065",1,"Dungeness Spit","whole crab","66c41fda7d8fc5fc8e39b178faafad1d1d0e5808",106,"incidental ingestion","species","Paralia sulcata"
"58","SS19-065-a","SS19-065",1,"Dungeness Spit","whole crab","f80c71e33339c6a16bcce1ad39d1f7b6e83419b2",11,"missing",NA,NA
"59","SS19-065-a","SS19-065",1,"Dungeness Spit","whole crab","a8e8a3198d164db3b408a852fc9ecf1d0d775a2e",217,"retained","species","Batillaria attramentaria"
"60","SS19-065-a","SS19-065",1,"Dungeness Spit","whole crab","ff98e4cd48d9d7cb074d7957e1d408ff8a2e6713",175,"retained","species","Batillaria attramentaria"
"61","SS19-065-a","SS19-065",1,"Dungeness Spit","whole crab","5b6e0c75a7aadd35e36a3c67bba6d1b3fcea1d7c",64,"missing",NA,NA
"62","SS19-065-a","SS19-065",1,"Dungeness Spit","whole crab","d6aea0bb5798a0b26b7a7b05eec7198a5535ce0b",72,"predator DNA","species","Carcinus maenas"
"63","SS19-065-a","SS19-065",1,"Dungeness Spit","whole crab","2facd968632c8e16827aeb543faf48885ad4deb0",55,"predator DNA","species","Carcinus maenas"
"64","SS19-065-a","SS19-065",1,"Dungeness Spit","whole crab","285214adafacd597b693275e1c7d195d06931ba8",7,"non-target DNA","species","Albugo candida"
"65","SS19-065-b","SS19-065",2,"Dungeness Spit","whole crab","538d38a10b39504ac841b298f510440aec3e5c27",6884,"predator DNA","species","Carcinus maenas"
"66","SS19-065-b","SS19-065",2,"Dungeness Spit","whole crab","06728f574aa876531056d77ac7b6b0ecad14336a",21,"missing",NA,NA
"67","SS19-065-b","SS19-065",2,"Dungeness Spit","whole crab","8913dd518b2b555f1e347a1c5bc5d619e41eb23a",30,"missing",NA,NA
"68","SS19-065-b","SS19-065",2,"Dungeness Spit","whole crab","1d7b49f239271ef55c960b6c754d639d59320541",142,"incidental ingestion","species","Euchlanis dilatata"
"69","SS19-065-b","SS19-065",2,"Dungeness Spit","whole crab","a4c1094b86c58198ccdb5f9451dd874eb5cd317c",4,"missing",NA,NA
"70","SS19-065-b","SS19-065",2,"Dungeness Spit","whole crab","75e3360424dd2088e74ea8700f8db6fb549e124d",6,"missing",NA,NA
"71","SS19-065-b","SS19-065",2,"Dungeness Spit","whole crab","04eefa01ea077f72dacf43a6240d50ae7ab7d929",13,"non-target DNA","genus","Cochliopodium"
"72","SS20-333-a","SS20-333",1,"Drayton Harbor","whole crab","538d38a10b39504ac841b298f510440aec3e5c27",79589,"predator DNA","species","Carcinus maenas"
"73","SS20-333-a","SS20-333",1,"Drayton Harbor","whole crab","245984f52208cb4e1405e89d21f4273c723f23e5",38,"predator DNA","species","Carcinus maenas"
"74","SS20-333-a","SS20-333",1,"Drayton Harbor","whole crab","66baf62fa9d82254a050652e2c3e4147b20cef31",149,"predator DNA","species","Carcinus maenas"
"75","SS20-333-a","SS20-333",1,"Drayton Harbor","whole crab","f80c71e33339c6a16bcce1ad39d1f7b6e83419b2",10,"missing",NA,NA
"76","SS20-333-a","SS20-333",1,"Drayton Harbor","whole crab","af16bf2f97c583b1ded277f88daace8aa697e979",11,"missing",NA,NA
"77","SS20-333-a","SS20-333",1,"Drayton Harbor","whole crab","dd39321bcb93467e907816e5139b76f32d9143f1",6,"predator DNA","species","Carcinus maenas"
"78","SS20-333-a","SS20-333",1,"Drayton Harbor","whole crab","099a605a00a014c28691d6b7e816dd65a1567f0f",153,"predator DNA","species","Carcinus maenas"
"79","SS20-333-a","SS20-333",1,"Drayton Harbor","whole crab","2e6d87c75fd5461ad2ceeeb7837d39cef753c1c4",44,"missing",NA,NA
"80","SS20-333-a","SS20-333",1,"Drayton Harbor","whole crab","e40bc417ab8343f18d2f8ebbf81c2f7a60e77898",59,"retained","species","Kurtiella bidentata"
"81","SS20-333-a","SS20-333",1,"Drayton Harbor","whole crab","b6ca8bc663e4a2a6f26470eb8ef0c88416588c8b",7,"missing",NA,NA
"82","SS20-333-a","SS20-333",1,"Drayton Harbor","whole crab","a32fee57411771696cc8f672092f105fea660ccc",45,"predator DNA","species","Carcinus maenas"
"83","SS20-333-a","SS20-333",1,"Drayton Harbor","whole crab","86067bb48f79697c75ab8b4400166beaaf1d8ae8",7,"retained","species","Ascophyllum nodosum"
"84","SS20-333-a","SS20-333",1,"Drayton Harbor","whole crab","e2dc159686cd62e2e6452d3a2b655ef9a12c0d21",7,"missing",NA,NA
"85","SS20-333-a","SS20-333",1,"Drayton Harbor","whole crab","ca5478f7d7e42455810002e227c487906e3c06b3",5,"missing",NA,NA
"86","SS20-333-b","SS20-333",2,"Drayton Harbor","whole crab","538d38a10b39504ac841b298f510440aec3e5c27",52786,"predator DNA","species","Carcinus maenas"
"87","SS20-333-b","SS20-333",2,"Drayton Harbor","whole crab","88808c212aba563b539504c1d48c871cf7faa9bd",37,"predator DNA","species","Carcinus maenas"
"88","SS20-333-b","SS20-333",2,"Drayton Harbor","whole crab","66baf62fa9d82254a050652e2c3e4147b20cef31",32,"predator DNA","species","Carcinus maenas"
"89","SS20-333-b","SS20-333",2,"Drayton Harbor","whole crab","f80c71e33339c6a16bcce1ad39d1f7b6e83419b2",31,"missing",NA,NA
"90","SS20-333-b","SS20-333",2,"Drayton Harbor","whole crab","af16bf2f97c583b1ded277f88daace8aa697e979",21,"missing",NA,NA
"91","SS20-333-b","SS20-333",2,"Drayton Harbor","whole crab","31a7f6adde9fed23639adcb33eda1f7fd67ba5ef",7,"missing",NA,NA
"92","SS20-333-b","SS20-333",2,"Drayton Harbor","whole crab","a5acc2da72ecf4509fd1ad865cb32195e4d87f16",4,"missing",NA,NA
"93","SS20-333-b","SS20-333",2,"Drayton Harbor","whole crab","9ac56d01b82f5965bc6de1084abc2413c47af896",2,"missing",NA,NA
"94","SS20-333-c","SS20-333",3,"Drayton Harbor","whole crab","538d38a10b39504ac841b298f510440aec3e5c27",55217,"predator DNA","species","Carcinus maenas"
"95","SS20-333-c","SS20-333",3,"Drayton Harbor","whole crab","88808c212aba563b539504c1d48c871cf7faa9bd",45,"predator DNA","species","Carcinus maenas"
"96","SS20-333-c","SS20-333",3,"Drayton Harbor","whole crab","f44554ad035b01f44bfa4b4ce67e43e8f9c67025",25,"predator DNA","species","Carcinus maenas"
"97","SS20-333-c","SS20-333",3,"Drayton Harbor","whole crab","245984f52208cb4e1405e89d21f4273c723f23e5",20,"predator DNA","species","Carcinus maenas"
"98","SS20-333-c","SS20-333",3,"Drayton Harbor","whole crab","af16bf2f97c583b1ded277f88daace8aa697e979",24,"missing",NA,NA
"99","SS20-333-c","SS20-333",3,"Drayton Harbor","whole crab","3f1671b7d03c1bfedbb50c3f0045779d533be5b1",7,"missing",NA,NA
"100","SS20-333-c","SS20-333",3,"Drayton Harbor","whole crab","10a4b964c9580505fefc14331d08b4e3a4f7d473",3,"non-target DNA","species","Korotnevella stella"
"101","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","538d38a10b39504ac841b298f510440aec3e5c27",56283,"predator DNA","species","Carcinus maenas"
"102","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","19ff76dc44fc872abc86ab446e637b082ede9e30",13,"non-target DNA","species","Hematodinium sp."
"103","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","033639e5010e9069ffb163478b59bf12b33b041a",34,"predator DNA","species","Carcinus maenas"
"104","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","d21f2675ef2ef67dd92b1c5da1e1d7ceab52e8da",230,"missing",NA,NA
"105","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","66baf62fa9d82254a050652e2c3e4147b20cef31",176,"predator DNA","species","Carcinus maenas"
"106","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","66c41fda7d8fc5fc8e39b178faafad1d1d0e5808",296,"incidental ingestion","species","Paralia sulcata"
"107","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","ad7c17f622104dcaa57c76757dac23063387c073",40,"predator DNA","species","Carcinus maenas"
"108","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","d5adc62676e12cc7d8df95f4e80dd39971ff6c06",357,"missing",NA,NA
"109","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","f2e8a692063bab7c496d0ac7b81755d2553d0223",208,"missing",NA,NA
"110","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","7820a192e5fcf22a27adb2478909d6f24190ab98",313,"predator DNA","species","Carcinus maenas"
"111","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","2e318871b5f872bdace1885dfa578576f1463b8c",169,"missing",NA,NA
"112","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","95a159a1591f407043ad5dffc5897489728d8111",66,"missing",NA,NA
"113","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","0cb53a88f562bbe38c11e7476b628e3f93df3254",139,"retained","family","Bougainvilliidae"
"114","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","695a4d940773de5dadb55a3e809ca384a48ef572",25,"missing",NA,NA
"115","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","55ba180dd1ad445b6edea8d2f8c2be41d09744f8",143,"predator DNA","species","Carcinus maenas"
"116","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","46f41c13444ccc9e753d9b02e499fd5fc1543587",13,"predator DNA","species","Carcinus maenas"
"117","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","e3d59ccc9841e7d0aed29aa670aac942024c0a5d",83,"incidental ingestion","class","Bacillariophyceae"
"118","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","a5e2faa36b3bbe70318d201bf6b80ae76787b076",91,"missing",NA,NA
"119","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","8f090297569f02fd4ed60bc835dc8e6116691196",62,"missing",NA,NA
"120","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","75e3360424dd2088e74ea8700f8db6fb549e124d",9,"missing",NA,NA
"121","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","c0783fd0730c5ef4116a7fa6e6a89597f2ca913a",20,"missing",NA,NA
"122","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","0e0e8dc0c4df56e487339e46c832210730f74950",63,"predator DNA","species","Carcinus maenas"
"123","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","84a3d28318cbe30372ec2ec8f676fd778bc3094e",58,"missing",NA,NA
"124","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","58502e96d0dc5eb73626b75835540853021aa6e3",45,"missing",NA,NA
"125","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","fdcab6d346534efd72785dd8f4b4912d8cea3dad",33,"predator DNA","species","Carcinus maenas"
"126","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","d5c70c4bfeafd1c2ff90916fd421637807ce04e6",36,"missing",NA,NA
"127","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","56a97645b02b2e411241810f50afc672785d94ac",26,"missing",NA,NA
"128","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","75fb48a65d6f398e865c6fab620a05c3a513855f",21,"missing",NA,NA
"129","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","69394c82d47f8f2587660506a3c211925fc3795a",41,"missing",NA,NA
"130","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","ca17e65f2c282d65a6c99ccae5251d15bb459a8d",35,"missing",NA,NA
"131","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","ae035f411d2ddcd3cdc3acc60b28678771c0cee6",32,"incidental ingestion","class","Mediophyceae"
"132","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","d40bcde34cef83229b29d1305d7a6ba44950b1c5",28,"missing",NA,NA
"133","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","be4f33c777e3d4ed1d237787c23f483d38b60be1",5,"missing",NA,NA
"134","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","fc4ee0af07b3c4a22985fe498b427a78363aec5e",12,"missing",NA,NA
"135","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","44b2cca367ddec42529050a979ca43943c1b9295",8,"missing",NA,NA
"136","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","3a35a4d8103237a00e65f08148adef71dfb6710e",3,"missing",NA,NA
"137","SS19-087-a","SS19-087",1,"Dungeness Spit","whole crab","7aae4e61e3610a0b6406210d565a8c18058cf49e",3,"non-target DNA","species","Cellulophaga lytica"
"138","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","538d38a10b39504ac841b298f510440aec3e5c27",44486,"predator DNA","species","Carcinus maenas"
"139","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","19ff76dc44fc872abc86ab446e637b082ede9e30",19,"non-target DNA","species","Hematodinium sp."
"140","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","88808c212aba563b539504c1d48c871cf7faa9bd",209,"predator DNA","species","Carcinus maenas"
"141","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","245984f52208cb4e1405e89d21f4273c723f23e5",42,"predator DNA","species","Carcinus maenas"
"142","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","66baf62fa9d82254a050652e2c3e4147b20cef31",89,"predator DNA","species","Carcinus maenas"
"143","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","66c41fda7d8fc5fc8e39b178faafad1d1d0e5808",191,"incidental ingestion","species","Paralia sulcata"
"144","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","ad7c17f622104dcaa57c76757dac23063387c073",149,"predator DNA","species","Carcinus maenas"
"145","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","d5adc62676e12cc7d8df95f4e80dd39971ff6c06",94,"missing",NA,NA
"146","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","3e8406518a493c48d490ce847a505d498fb405ce",496,"predator DNA","species","Carcinus maenas"
"147","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","f2e8a692063bab7c496d0ac7b81755d2553d0223",86,"missing",NA,NA
"148","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","2e318871b5f872bdace1885dfa578576f1463b8c",30,"missing",NA,NA
"149","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","8913dd518b2b555f1e347a1c5bc5d619e41eb23a",108,"missing",NA,NA
"150","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","603b0b1aff83fd715157c96e51cdd2ca3226e90c",242,"predator DNA","species","Carcinus maenas"
"151","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","0cb53a88f562bbe38c11e7476b628e3f93df3254",54,"retained","family","Bougainvilliidae"
"152","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","695a4d940773de5dadb55a3e809ca384a48ef572",120,"missing",NA,NA
"153","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","448073e4175d148efe975253dfc2eebbad444734",27,"predator DNA","species","Carcinus maenas"
"154","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","88bf36323f5f8de152cce77241ce7e555189713d",165,"predator DNA","species","Carcinus maenas"
"155","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","46f41c13444ccc9e753d9b02e499fd5fc1543587",26,"predator DNA","species","Carcinus maenas"
"156","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","e3d59ccc9841e7d0aed29aa670aac942024c0a5d",16,"incidental ingestion","class","Bacillariophyceae"
"157","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","894853e894ef86f322882b386807bdb3ec2a164a",95,"retained","order","Coleoptera"
"158","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","a4c1094b86c58198ccdb5f9451dd874eb5cd317c",2,"missing",NA,NA
"159","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","75e3360424dd2088e74ea8700f8db6fb549e124d",52,"missing",NA,NA
"160","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","d5c70c4bfeafd1c2ff90916fd421637807ce04e6",17,"missing",NA,NA
"161","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","56a97645b02b2e411241810f50afc672785d94ac",17,"missing",NA,NA
"162","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","dd9e7e88a56f280ad06cd9a8e75fafab8670a84b",48,"missing",NA,NA
"163","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","75fb48a65d6f398e865c6fab620a05c3a513855f",19,"missing",NA,NA
"164","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","34bae43306dc02f0c660a193a469aa6f8e6414ff",27,"missing",NA,NA
"165","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","72f04c670f3334fc1267de5eaeb8ffb97493a1cf",26,"missing",NA,NA
"166","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","bc223e2e7683fd583936f76ef4e7087445c218e7",18,"missing",NA,NA
"167","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","5dabb4ac3236f5252c52bb5e2a3a7ade2e1816d1",17,"missing",NA,NA
"168","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","689d5ab6365e9d0ef19ebe68be9661e72cadb99c",12,"incidental ingestion","family","Cymbellaceae"
"169","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","98cd1780a631db8b4091876484a49b4e22af64ea",5,"missing",NA,NA
"170","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","79c6e56aa1df57a09ba2873a462efd3fef3a5387",3,"missing",NA,NA
"171","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","e27ca5a87624aeab9ec4e9ad1a777a59b3f634ea",6,"missing",NA,NA
"172","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","823a9364f948c97c1a28ed46af4b0199a3dbff6d",6,"missing",NA,NA
"173","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","7e78d1b07fb7c1ed7f9ecfa29f4380b845c768b5",5,"missing",NA,NA
"174","SS19-087-b","SS19-087",2,"Dungeness Spit","whole crab","353d1e1bd588c1527fbb77f717618edbf8c05728",5,"non-target DNA","family","Flavobacteriaceae"
"175","SS19-087-c","SS19-087",3,"Dungeness Spit","whole crab","538d38a10b39504ac841b298f510440aec3e5c27",47012,"predator DNA","species","Carcinus maenas"
"176","SS19-087-c","SS19-087",3,"Dungeness Spit","whole crab","19ff76dc44fc872abc86ab446e637b082ede9e30",52,"non-target DNA","species","Hematodinium sp."
"177","SS19-087-c","SS19-087",3,"Dungeness Spit","whole crab","88808c212aba563b539504c1d48c871cf7faa9bd",18,"predator DNA","species","Carcinus maenas"
